0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
106/08/30,"16,509,884","220,541,207",13.35,13.40,13.30,13.40,+0.10,"2,016",,,,,,,,,,,,,,,,,,,,,,,,
106/08/31,"13,290,194","177,686,888",13.40,13.45,13.30,13.40, 0.00,"2,447",,,,,,,,,,,,,,,,,,,,,,,,
106/09/01,"9,878,846","132,034,596",13.40,13.40,13.30,13.40, 0.00,"2,151",,,,,,,,,,,,,,,,,,,,,,,,
106/09/04,"7,748,781","102,913,247",13.35,13.35,13.25,13.25,-0.15,"1,928",,,,,,,,,,,,,,,,,,,,,,,,
106/09/05,"15,681,082","208,058,439",13.25,13.35,13.20,13.35,+0.10,"2,863",,,,,,,,,,,,,,,,,,,,,,,,
106/09/06,"17,348,167","228,644,953",13.25,13.30,13.15,13.15,-0.20,"4,391",,,,,,,,,,,,,,,,,,,,,,,,
106/09/07,"14,869,887","195,913,566",13.15,13.25,13.15,13.20,+0.05,"4,357",,,,,,,,,,,,,,,,,,,,,,,,
106/09/08,"12,457,545","164,426,444",13.20,13.25,13.15,13.25,+0.05,"2,956",,,,,,,,,,,,,,,,,,,,,,,,
106/09/11,"8,108,221","106,921,106",13.20,13.25,13.15,13.25, 0.00,"2,619",,,,,,,,,,,,,,,,,,,,,,,,
106/09/12,"11,922,215","158,046,978",13.25,13.30,13.20,13.30,+0.05,"2,422",,,,,,,,,,,,,,,,,,,,,,,,
106/09/13,"10,929,332","144,558,519",13.30,13.30,13.20,13.20,-0.10,"2,245",,,,,,,,,,,,,,,,,,,,,,,,
106/09/14,"10,661,217","140,413,252",13.15,13.20,13.15,13.15,-0.05,"5,297",,,,,,,,,,,,,,,,,,,,,,,,
106/09/15,"20,547,395","272,499,425",13.15,13.30,13.15,13.30,+0.15,"2,619",,,,,,,,,,,,,,,,,,,,,,,,
106/09/18,"13,583,077","181,230,744",13.30,13.40,13.20,13.40,+0.10,"3,856",,,,,,,,,,,,,,,,,,,,,,,,
106/09/19,"8,827,738","117,208,019",13.40,13.40,13.20,13.25,-0.15,"1,833",,,,,,,,,,,,,,,,,,,,,,,,
106/09/20,"10,060,973","133,201,241",13.25,13.30,13.20,13.30,+0.05,"2,843",,,,,,,,,,,,,,,,,,,,,,,,
106/09/21,"9,892,464","130,836,288",13.20,13.25,13.20,13.25,-0.05,"2,360",,,,,,,,,,,,,,,,,,,,,,,,
106/09/22,"9,834,529","129,726,314",13.30,13.30,13.15,13.15,-0.10,"2,379",,,,,,,,,,,,,,,,,,,,,,,,
